Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,10.0,100.00000000010002,800,7.0,1000.0000000010001,5000
2,9.0,300.0000000003,2100,7.0,900.0000000009001,4500
3,8.0,500.00000000050005,3000,7.0,800.0000000008001,4000
4,8.0,600.0000000006,3600,8.0,600.0000000006,3600
5,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
6,8.0,500.00000000050005,3000,7.0,800.0000000008001,4000
7,8.0,500.00000000050005,3000,7.0,800.0000000008001,4000
8,7.0,800.0000000008001,4000,8.0,500.00000000050005,3000
9,8.0,700.0000000007001,4200,9.0,400.00000000040006,2800
10,8.0,600.0000000006,3600,8.0,600.0000000006,3600
