Round,FirmID,Price,Quantity,Profit
1,1,10.0,100.00000000010002,800
1,2,7.0,1000.0000000010001,5000
2,1,9.0,300.0000000003,2100
2,2,7.0,900.0000000009001,4500
3,1,8.0,500.00000000050005,3000
3,2,7.0,800.0000000008001,4000
4,1,8.0,600.0000000006,3600
4,2,8.0,600.0000000006,3600
5,1,7.0,700.0000000007001,3500
5,2,7.0,700.0000000007001,3500
6,1,8.0,500.00000000050005,3000
6,2,7.0,800.0000000008001,4000
7,1,8.0,500.00000000050005,3000
7,2,7.0,800.0000000008001,4000
8,1,7.0,800.0000000008001,4000
8,2,8.0,500.00000000050005,3000
9,1,8.0,700.0000000007001,4200
9,2,9.0,400.00000000040006,2800
10,1,8.0,600.0000000006,3600
10,2,8.0,600.0000000006,3600
