Round,FirmID,Price,Quantity,Profit
1,1,10.0,400.00000000040006,3200
1,2,10.0,400.00000000040006,3200
2,1,11.0,300.0000000002999,2700
2,2,11.0,300.0000000002999,2700
3,1,12.0,200.00000000020003,2000
3,2,12.0,200.00000000020003,2000
4,1,13.0,100.00000000010012,1100
4,2,13.0,100.00000000010012,1100
5,1,10.0,400.00000000040006,3200
5,2,10.0,400.00000000040006,3200
6,1,11.0,300.0000000002999,2700
6,2,11.0,300.0000000002999,2700
7,1,12.0,200.00000000020003,2000
7,2,12.0,200.00000000020003,2000
8,1,13.0,100.00000000010012,1100
8,2,13.0,100.00000000010012,1100
9,1,10.0,400.00000000040006,3200
9,2,10.0,400.00000000040006,3200
10,1,11.0,300.0000000002999,2700
10,2,11.0,300.0000000002999,2700
11,1,12.0,200.00000000020003,2000
11,2,12.0,200.00000000020003,2000
12,1,13.0,100.00000000010012,1100
12,2,13.0,100.00000000010012,1100
13,1,10.0,400.00000000040006,3200
13,2,10.0,400.00000000040006,3200
14,1,11.0,300.0000000002999,2700
14,2,11.0,300.0000000002999,2700
15,1,12.0,200.00000000020003,2000
15,2,12.0,200.00000000020003,2000
16,1,13.0,100.00000000010012,1100
16,2,13.0,100.00000000010012,1100
17,1,10.0,400.00000000040006,3200
17,2,10.0,400.00000000040006,3200
18,1,11.0,300.0000000002999,2700
18,2,11.0,300.0000000002999,2700
19,1,12.0,200.00000000020003,2000
19,2,12.0,200.00000000020003,2000
