Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
2,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
3,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
4,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
5,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
6,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
7,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
8,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
9,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
10,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
11,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
12,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
13,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
14,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
15,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
16,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
17,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
18,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
19,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
20,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
21,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
22,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
23,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
24,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
25,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
26,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
27,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
28,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
29,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
30,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
31,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
32,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
33,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
34,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
35,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
36,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
37,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
38,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
39,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
