Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,7.0,1000.0000000010001,5000,10.0,100.00000000010002,800
2,6.0,1300.0000000013004,5200,11.0,-200.00000000020023,-1800
3,6.0,1100.0000000011003,4400,9.0,200.00000000020003,1400
4,5.0,1200.0000000012,3600,8.0,300.0000000003,1800
5,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
6,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
7,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
8,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
9,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
10,5.0,1100.0000000011003,3300,7.0,500.00000000050005,2500
11,5.5,1000.0000000009999,3500,7.0,550.0000000005501,2750
12,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
13,5.5,1000.0000000009999,3500,7.0,550.0000000005501,2750
14,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
15,6.0,900.0000000009001,3600,7.0,600.0000000006,3000
16,5.0,1100.0000000011003,3300,7.0,500.00000000050005,2500
17,5.0,1100.0000000011003,3300,7.0,500.00000000050005,2500
18,5.0,1100.0000000011003,3300,7.0,500.00000000050005,2500
19,5.5,1000.0000000009999,3500,7.0,550.0000000005501,2750
