Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,7.0,800.0000000008001,4000,8.0,500.00000000050005,3000
2,7.2,810.00000000081,4212,8.5,420.00000000042013,2730
3,7.4,740.00000000074,3996,8.2,500.0000000005003,3100
4,7.5,740.00000000074,4070,8.4,470.0000000004701,3008
5,7.3,770.0000000007702,4081,8.3,470.0000000004699,2961
6,7.4,730.00000000073,3942,8.1,520.0000000005201,3172
7,7.6,700.0000000007,3920,8.2,520.0000000005202,3224
8,7.8,660.00000000066,3828,8.2,540.0000000005402,3348
9,7.7,690.0000000006901,3933,8.3,510.00000000051,3213
10,7.5,720.0000000007199,3960,8.2,510.00000000051034,3162
11,7.6,720.0000000007201,4032,8.4,480.00000000048004,3072
12,7.7,690.0000000006901,3933,8.3,510.00000000051,3213
13,7.8,690.0000000006901,4002,8.5,480.00000000048016,3120
14,7.9,650.0000000006501,3835,8.3,530.00000000053,3339
15,7.7,700.0000000007,3990,8.4,490.0000000004901,3136
16,7.6,730.00000000073,4088,8.5,460.00000000046015,2990
17,7.7,700.0000000007,3990,8.4,490.0000000004901,3136
18,7.8,670.0000000006702,3886,8.3,520.00000000052,3276
19,7.5,730.00000000073,4015,8.3,490.00000000049,3087
