Round,FirmID,Price,Quantity,Profit
1,1,7.0,800.0000000008001,4000
1,2,8.0,500.00000000050005,3000
2,1,7.2,810.00000000081,4212
2,2,8.5,420.00000000042013,2730
3,1,7.4,740.00000000074,3996
3,2,8.2,500.0000000005003,3100
4,1,7.5,740.00000000074,4070
4,2,8.4,470.0000000004701,3008
5,1,7.3,770.0000000007702,4081
5,2,8.3,470.0000000004699,2961
6,1,7.4,730.00000000073,3942
6,2,8.1,520.0000000005201,3172
7,1,7.6,700.0000000007,3920
7,2,8.2,520.0000000005202,3224
8,1,7.8,660.00000000066,3828
8,2,8.2,540.0000000005402,3348
9,1,7.7,690.0000000006901,3933
9,2,8.3,510.00000000051,3213
10,1,7.5,720.0000000007199,3960
10,2,8.2,510.00000000051034,3162
11,1,7.6,720.0000000007201,4032
11,2,8.4,480.00000000048004,3072
12,1,7.7,690.0000000006901,3933
12,2,8.3,510.00000000051,3213
13,1,7.8,690.0000000006901,4002
13,2,8.5,480.00000000048016,3120
14,1,7.9,650.0000000006501,3835
14,2,8.3,530.00000000053,3339
15,1,7.7,700.0000000007,3990
15,2,8.4,490.0000000004901,3136
16,1,7.6,730.00000000073,4088
16,2,8.5,460.00000000046015,2990
17,1,7.7,700.0000000007,3990
17,2,8.4,490.0000000004901,3136
18,1,7.8,670.0000000006702,3886
18,2,8.3,520.00000000052,3276
19,1,7.5,730.00000000073,4015
19,2,8.3,490.00000000049,3087
