Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
2,6.5,750.0000000007501,3375,6.5,750.0000000007501,3375
3,6.8,720.0000000007201,3456,6.8,720.0000000007201,3456
4,7.1,670.0000000006702,3417,6.9,730.00000000073,3577
5,7.2,650.0000000006502,3380,6.9,740.00000000074,3626
6,7.1,690.0000000006901,3519,7.1,690.0000000006901,3519
7,7.0,720.0000000007201,3600,7.2,660.0000000006601,3432
8,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
9,7.2,660.0000000006601,3432,7.0,720.0000000007201,3600
10,7.3,660.0000000006602,3498,7.2,690.0000000006901,3588
11,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
12,7.1,710.0000000007101,3621,7.3,650.0000000006502,3445
13,7.2,680.0000000006801,3536,7.2,680.0000000006801,3536
14,7.1,680.0000000006802,3468,7.0,710.00000000071,3550
15,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
16,7.0,720.0000000007201,3600,7.2,660.0000000006601,3432
17,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
18,7.1,690.0000000006901,3519,7.1,690.0000000006901,3519
19,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
20,7.1,680.0000000006802,3468,7.0,710.00000000071,3550
21,7.2,670.0000000006701,3484,7.1,700.0000000007002,3570
22,6.9,740.00000000074,3626,7.2,650.0000000006502,3380
23,7.1,710.0000000007101,3621,7.3,650.0000000006502,3445
24,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
25,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
26,7.1,680.0000000006802,3468,7.0,710.00000000071,3550
27,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
28,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
29,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
30,7.0,720.0000000007201,3600,7.2,660.0000000006601,3432
31,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
32,7.1,690.0000000006901,3519,7.1,690.0000000006901,3519
33,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
34,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
35,7.2,670.0000000006701,3484,7.1,700.0000000007002,3570
36,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
37,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
38,7.0,710.00000000071,3550,7.1,680.0000000006802,3468
39,7.0,720.0000000007201,3600,7.2,660.0000000006601,3432
40,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
41,7.05,700.0000000007001,3535,7.1,685.0000000006852,3493
42,7.0,730.00000000073,3650,7.3,640.0000000006402,3392
43,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
44,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
45,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
46,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
47,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
48,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
49,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
50,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
51,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
52,7.05,730.0000000007301,3686,7.4,625.000000000625,3375
53,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
54,7.1,710.0000000007101,3621,7.3,650.0000000006502,3445
55,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
56,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
57,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
58,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
59,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
60,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
61,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
62,7.15,690.0000000006901,3553,7.2,675.0000000006751,3510
63,7.1,690.0000000006901,3519,7.1,690.0000000006901,3519
64,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
65,7.05,720.0000000007201,3636,7.3,645.0000000006452,3418
66,7.1,700.0000000007002,3570,7.2,670.0000000006701,3484
67,7.0,720.0000000007201,3600,7.2,660.0000000006601,3432
68,7.1,690.0000000006901,3519,7.1,690.0000000006901,3519
69,7.0,720.0000000007201,3600,7.2,660.0000000006601,3432
70,7.05,710.0000000007101,3585,7.2,665.0000000006651,3458
71,7.02,711.0000000007113,3569,7.15,672.0000000006719,3460
72,7.08,699.0000000006991,3550,7.15,678.000000000678,3491
73,7.03,714.000000000714,3591,7.2,663.0000000006631,3447
74,7.06,700.0000000007003,3542,7.12,682.0000000006819,3491
75,7.04,710.00000000071,3578,7.18,668.0000000006681,3460
76,7.07,711.0000000007111,3604,7.25,657.0000000006571,3449
77,7.09,697.0000000006971,3547,7.15,679.000000000679,3496
78,7.08,694.000000000694,3525,7.1,688.0000000006883,3508
79,7.06,708.0000000007083,3582,7.2,666.000000000666,3463
