Round,FirmID,Price,Quantity,Profit
1,1,7.0,700.0000000007001,3500
1,2,7.0,700.0000000007001,3500
2,1,6.5,750.0000000007501,3375
2,2,6.5,750.0000000007501,3375
3,1,6.8,720.0000000007201,3456
3,2,6.8,720.0000000007201,3456
4,1,7.1,670.0000000006702,3417
4,2,6.9,730.00000000073,3577
5,1,7.2,650.0000000006502,3380
5,2,6.9,740.00000000074,3626
6,1,7.1,690.0000000006901,3519
6,2,7.1,690.0000000006901,3519
7,1,7.0,720.0000000007201,3600
7,2,7.2,660.0000000006601,3432
8,1,7.0,710.00000000071,3550
8,2,7.1,680.0000000006802,3468
9,1,7.2,660.0000000006601,3432
9,2,7.0,720.0000000007201,3600
10,1,7.3,660.0000000006602,3498
10,2,7.2,690.0000000006901,3588
11,1,7.0,710.00000000071,3550
11,2,7.1,680.0000000006802,3468
12,1,7.1,710.0000000007101,3621
12,2,7.3,650.0000000006502,3445
13,1,7.2,680.0000000006801,3536
13,2,7.2,680.0000000006801,3536
14,1,7.1,680.0000000006802,3468
14,2,7.0,710.00000000071,3550
15,1,7.0,710.00000000071,3550
15,2,7.1,680.0000000006802,3468
16,1,7.0,720.0000000007201,3600
16,2,7.2,660.0000000006601,3432
17,1,7.0,700.0000000007001,3500
17,2,7.0,700.0000000007001,3500
18,1,7.1,690.0000000006901,3519
18,2,7.1,690.0000000006901,3519
19,1,7.0,700.0000000007001,3500
19,2,7.0,700.0000000007001,3500
20,1,7.1,680.0000000006802,3468
20,2,7.0,710.00000000071,3550
21,1,7.2,670.0000000006701,3484
21,2,7.1,700.0000000007002,3570
22,1,6.9,740.00000000074,3626
22,2,7.2,650.0000000006502,3380
23,1,7.1,710.0000000007101,3621
23,2,7.3,650.0000000006502,3445
24,1,7.0,710.00000000071,3550
24,2,7.1,680.0000000006802,3468
25,1,7.0,700.0000000007001,3500
25,2,7.0,700.0000000007001,3500
26,1,7.1,680.0000000006802,3468
26,2,7.0,710.00000000071,3550
27,1,7.0,710.00000000071,3550
27,2,7.1,680.0000000006802,3468
28,1,7.1,700.0000000007002,3570
28,2,7.2,670.0000000006701,3484
29,1,7.0,710.00000000071,3550
29,2,7.1,680.0000000006802,3468
30,1,7.0,720.0000000007201,3600
30,2,7.2,660.0000000006601,3432
31,1,7.0,700.0000000007001,3500
31,2,7.0,700.0000000007001,3500
32,1,7.1,690.0000000006901,3519
32,2,7.1,690.0000000006901,3519
33,1,7.0,710.00000000071,3550
33,2,7.1,680.0000000006802,3468
34,1,7.0,710.00000000071,3550
34,2,7.1,680.0000000006802,3468
