Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
2,11.0,400.00000000039984,3600,12.0,100.00000000010012,1000
3,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
4,12.0,100.00000000010012,1000,11.0,400.00000000039984,3600
5,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
6,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
7,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
8,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
9,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
10,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
11,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
12,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
13,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
14,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
15,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
16,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
17,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
18,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
19,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
