Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,5.0,1400.0000000014002,4200,10.0,-100.00000000010002,-800
2,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
3,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
4,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
5,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
6,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
7,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
8,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
9,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
10,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
11,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
12,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
13,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
14,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
15,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
16,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
17,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
18,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
19,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
