Round,FirmID,Price,Quantity,Profit
1,1,10.0,200.00000000020003,1600
1,2,8.0,800.0000000008001,4800
2,1,12.0,-100.00000000010002,-1000
2,2,9.0,800.0000000008001,5600
3,1,10.0,300.0000000003,2400
3,2,9.0,600.0000000006,4200
4,1,10.0,300.0000000003,2400
4,2,9.0,600.0000000006,4200
5,1,9.0,400.00000000040006,2800
5,2,8.0,700.0000000007001,4200
6,1,9.0,400.00000000040006,2800
6,2,8.0,700.0000000007001,4200
7,1,9.0,400.00000000040006,2800
7,2,8.0,700.0000000007001,4200
8,1,9.0,400.00000000040006,2800
8,2,8.0,700.0000000007001,4200
9,1,9.0,400.00000000040006,2800
9,2,8.0,700.0000000007001,4200
10,1,9.0,400.00000000040006,2800
10,2,8.0,700.0000000007001,4200
11,1,9.0,400.00000000040006,2800
11,2,8.0,700.0000000007001,4200
12,1,9.0,400.00000000040006,2800
12,2,8.0,700.0000000007001,4200
13,1,9.0,400.00000000040006,2800
13,2,8.0,700.0000000007001,4200
14,1,9.0,400.00000000040006,2800
14,2,8.0,700.0000000007001,4200
15,1,9.0,400.00000000040006,2800
15,2,8.0,700.0000000007001,4200
16,1,9.0,400.00000000040006,2800
16,2,8.0,700.0000000007001,4200
17,1,9.0,400.00000000040006,2800
17,2,8.0,700.0000000007001,4200
18,1,9.0,400.00000000040006,2800
18,2,8.0,700.0000000007001,4200
19,1,9.0,400.00000000040006,2800
19,2,8.0,700.0000000007001,4200
20,1,9.0,400.00000000040006,2800
20,2,8.0,700.0000000007001,4200
21,1,9.0,400.00000000040006,2800
21,2,8.0,700.0000000007001,4200
22,1,9.0,400.00000000040006,2800
22,2,8.0,700.0000000007001,4200
23,1,9.0,400.00000000040006,2800
23,2,8.0,700.0000000007001,4200
24,1,9.0,400.00000000040006,2800
24,2,8.0,700.0000000007001,4200
25,1,9.0,400.00000000040006,2800
25,2,8.0,700.0000000007001,4200
26,1,9.0,400.00000000040006,2800
26,2,8.0,700.0000000007001,4200
27,1,9.0,400.00000000040006,2800
27,2,8.0,700.0000000007001,4200
28,1,9.0,400.00000000040006,2800
28,2,8.0,700.0000000007001,4200
29,1,9.0,400.00000000040006,2800
29,2,8.0,700.0000000007001,4200
30,1,9.0,400.00000000040006,2800
30,2,8.0,700.0000000007001,4200
31,1,9.0,400.00000000040006,2800
31,2,8.0,700.0000000007001,4200
32,1,9.0,400.00000000040006,2800
32,2,8.0,700.0000000007001,4200
33,1,9.0,400.00000000040006,2800
33,2,8.0,700.0000000007001,4200
34,1,9.0,400.00000000040006,2800
34,2,8.0,700.0000000007001,4200
35,1,9.0,400.00000000040006,2800
35,2,8.0,700.0000000007001,4200
36,1,9.0,400.00000000040006,2800
36,2,8.0,700.0000000007001,4200
37,1,9.0,400.00000000040006,2800
37,2,8.0,700.0000000007001,4200
38,1,9.0,400.00000000040006,2800
38,2,8.0,700.0000000007001,4200
39,1,9.0,400.00000000040006,2800
39,2,8.0,700.0000000007001,4200
