Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,2.0,1200.0000000012,0,2.0,1200.0000000012,0
2,2.0,1200.0000000012,0,2.0,1200.0000000012,0
3,3.0,1100.0000000011003,1100,3.0,1100.0000000011003,1100
4,4.0,1000.0000000010001,2000,4.0,1000.0000000010001,2000
5,5.0,900.0000000009001,2700,5.0,900.0000000009001,2700
6,6.0,800.0000000008001,3200,6.0,800.0000000008001,3200
7,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
8,8.0,600.0000000006,3600,8.0,600.0000000006,3600
9,9.0,500.00000000050005,3500,9.0,500.00000000050005,3500
10,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
11,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
12,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
13,13.0,100.00000000010012,1100,13.0,100.00000000010012,1100
14,14.0,0.0,0,14.0,0.0,0
15,15.0,-100.00000000010012,-1300,15.0,-100.00000000010012,-1300
16,16.0,-200.00000000020003,-2800,16.0,-200.00000000020003,-2800
17,17.0,-300.00000000029974,-4500,17.0,-300.00000000029974,-4500
18,18.0,-400.00000000040023,-6400,18.0,-400.00000000040023,-6400
19,19.0,-500.00000000049994,-8500,19.0,-500.00000000049994,-8500
20,20.0,-600.0000000005998,-10800,20.0,-600.0000000005998,-10800
21,21.0,-700.0000000006997,-13300,21.0,-700.0000000006997,-13300
22,22.0,-800.0000000008001,-16000,22.0,-800.0000000008001,-16000
23,23.0,-900.0000000009,-18900,23.0,-900.0000000009,-18900
24,24.0,-1000.0000000009999,-22000,24.0,-1000.0000000009999,-22000
25,25.0,-1100.0000000010998,-25300,25.0,-1100.0000000010998,-25300
26,26.0,-1200.0000000011996,-28800,26.0,-1200.0000000011996,-28800
27,27.0,-1300.0000000013001,-32500,27.0,-1300.0000000013001,-32500
28,28.0,-1400.0000000014,-36400,28.0,-1400.0000000014,-36400
