Round,FirmID,Price,Quantity,Profit
1,1,2.0,1200.0000000012,0
1,2,2.0,1200.0000000012,0
2,1,2.0,1200.0000000012,0
2,2,2.0,1200.0000000012,0
3,1,3.0,1100.0000000011003,1100
3,2,3.0,1100.0000000011003,1100
4,1,4.0,1000.0000000010001,2000
4,2,4.0,1000.0000000010001,2000
5,1,5.0,900.0000000009001,2700
5,2,5.0,900.0000000009001,2700
6,1,6.0,800.0000000008001,3200
6,2,6.0,800.0000000008001,3200
7,1,7.0,700.0000000007001,3500
7,2,7.0,700.0000000007001,3500
8,1,8.0,600.0000000006,3600
8,2,8.0,600.0000000006,3600
9,1,9.0,500.00000000050005,3500
9,2,9.0,500.00000000050005,3500
10,1,10.0,400.00000000040006,3200
10,2,10.0,400.00000000040006,3200
11,1,11.0,300.0000000002999,2700
11,2,11.0,300.0000000002999,2700
12,1,12.0,200.00000000020003,2000
12,2,12.0,200.00000000020003,2000
13,1,13.0,100.00000000010012,1100
13,2,13.0,100.00000000010012,1100
14,1,14.0,0.0,0
14,2,14.0,0.0,0
15,1,15.0,-100.00000000010012,-1300
15,2,15.0,-100.00000000010012,-1300
16,1,16.0,-200.00000000020003,-2800
16,2,16.0,-200.00000000020003,-2800
17,1,17.0,-300.00000000029974,-4500
17,2,17.0,-300.00000000029974,-4500
18,1,18.0,-400.00000000040023,-6400
18,2,18.0,-400.00000000040023,-6400
19,1,19.0,-500.00000000049994,-8500
19,2,19.0,-500.00000000049994,-8500
20,1,20.0,-600.0000000005998,-10800
20,2,20.0,-600.0000000005998,-10800
21,1,21.0,-700.0000000006997,-13300
21,2,21.0,-700.0000000006997,-13300
22,1,22.0,-800.0000000008001,-16000
22,2,22.0,-800.0000000008001,-16000
23,1,23.0,-900.0000000009,-18900
23,2,23.0,-900.0000000009,-18900
24,1,24.0,-1000.0000000009999,-22000
24,2,24.0,-1000.0000000009999,-22000
25,1,25.0,-1100.0000000010998,-25300
25,2,25.0,-1100.0000000010998,-25300
26,1,26.0,-1200.0000000011996,-28800
26,2,26.0,-1200.0000000011996,-28800
27,1,27.0,-1300.0000000013001,-32500
27,2,27.0,-1300.0000000013001,-32500
28,1,28.0,-1400.0000000014,-36400
28,2,28.0,-1400.0000000014,-36400
