Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,4.0,1000.0000000010001,2000,4.0,1000.0000000010001,2000
2,5.0,900.0000000009001,2700,5.0,900.0000000009001,2700
3,6.0,800.0000000008001,3200,6.0,800.0000000008001,3200
4,7.0,700.0000000007001,3500,7.0,700.0000000007001,3500
5,8.0,600.0000000006,3600,8.0,600.0000000006,3600
6,9.0,500.00000000050005,3500,9.0,500.00000000050005,3500
7,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
8,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
9,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
10,10.0,700.0000000007,5600,13.0,-200.0000000001998,-2200
11,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
12,12.0,100.00000000010012,1000,11.0,400.00000000039984,3600
13,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
14,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
15,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
16,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
17,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
18,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
19,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
20,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
21,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
22,10.0,1600.0000000016005,12800,22.0,-2000.0000000020007,-40000
23,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
24,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
25,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
26,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
27,10.0,200.00000000020003,1600,8.0,800.0000000008001,4800
28,10.0,200.00000000020003,1600,8.0,800.0000000008001,4800
29,10.0,200.00000000020003,1600,8.0,800.0000000008001,4800
30,10.0,200.00000000020003,1600,8.0,800.0000000008001,4800
31,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
32,32.0,-4200.0000000042,-126000,8.0,3000.0000000030004,18000
33,10.0,-300.0000000003,-2400,3.0,1800.0000000018001,1800
34,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
35,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
36,10.0,200.00000000020003,1600,8.0,800.0000000008001,4800
37,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
38,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
39,10.0,-400.00000000040006,-3200,2.0,2000.0000000020002,0
