Round,FirmID,Price,Quantity,Profit
1,1,4.0,1000.0000000010001,2000
1,2,4.0,1000.0000000010001,2000
2,1,5.0,900.0000000009001,2700
2,2,5.0,900.0000000009001,2700
3,1,6.0,800.0000000008001,3200
3,2,6.0,800.0000000008001,3200
4,1,7.0,700.0000000007001,3500
4,2,7.0,700.0000000007001,3500
5,1,8.0,600.0000000006,3600
5,2,8.0,600.0000000006,3600
6,1,9.0,500.00000000050005,3500
6,2,9.0,500.00000000050005,3500
7,1,10.0,400.00000000040006,3200
7,2,10.0,400.00000000040006,3200
8,1,11.0,300.0000000002999,2700
8,2,11.0,300.0000000002999,2700
9,1,12.0,200.00000000020003,2000
9,2,12.0,200.00000000020003,2000
10,1,10.0,700.0000000007,5600
10,2,13.0,-200.0000000001998,-2200
11,1,11.0,200.0000000001998,1800
11,2,10.0,500.00000000050017,4000
12,1,12.0,100.00000000010012,1000
12,2,11.0,400.00000000039984,3600
13,1,10.0,400.00000000040006,3200
13,2,10.0,400.00000000040006,3200
14,1,11.0,200.0000000001998,1800
14,2,10.0,500.00000000050017,4000
15,1,10.0,400.00000000040006,3200
15,2,10.0,400.00000000040006,3200
16,1,11.0,300.0000000002999,2700
16,2,11.0,300.0000000002999,2700
17,1,10.0,400.00000000040006,3200
17,2,10.0,400.00000000040006,3200
18,1,10.0,500.00000000050017,4000
18,2,11.0,200.0000000001998,1800
19,1,10.0,400.00000000040006,3200
19,2,10.0,400.00000000040006,3200
20,1,11.0,300.0000000002999,2700
20,2,11.0,300.0000000002999,2700
21,1,10.0,400.00000000040006,3200
21,2,10.0,400.00000000040006,3200
22,1,10.0,1600.0000000016005,12800
22,2,22.0,-2000.0000000020007,-40000
23,1,10.0,400.00000000040006,3200
23,2,10.0,400.00000000040006,3200
24,1,10.0,400.00000000040006,3200
24,2,10.0,400.00000000040006,3200
25,1,10.0,400.00000000040006,3200
25,2,10.0,400.00000000040006,3200
26,1,10.0,400.00000000040006,3200
26,2,10.0,400.00000000040006,3200
27,1,10.0,200.00000000020003,1600
27,2,8.0,800.0000000008001,4800
28,1,10.0,200.00000000020003,1600
28,2,8.0,800.0000000008001,4800
29,1,10.0,200.00000000020003,1600
29,2,8.0,800.0000000008001,4800
30,1,10.0,200.00000000020003,1600
30,2,8.0,800.0000000008001,4800
31,1,10.0,400.00000000040006,3200
31,2,10.0,400.00000000040006,3200
32,1,32.0,-4200.0000000042,-126000
32,2,8.0,3000.0000000030004,18000
33,1,10.0,-300.0000000003,-2400
33,2,3.0,1800.0000000018001,1800
34,1,10.0,400.00000000040006,3200
34,2,10.0,400.00000000040006,3200
35,1,10.0,400.00000000040006,3200
35,2,10.0,400.00000000040006,3200
36,1,10.0,200.00000000020003,1600
36,2,8.0,800.0000000008001,4800
37,1,10.0,400.00000000040006,3200
37,2,10.0,400.00000000040006,3200
38,1,10.0,400.00000000040006,3200
38,2,10.0,400.00000000040006,3200
39,1,10.0,-400.00000000040006,-3200
39,2,2.0,2000.0000000020002,0
