Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,7.0,800.0000000008001,4000,8.0,500.00000000050005,3000
2,6.5,1000.0000000010003,4500,9.0,250.00000000024997,1750
3,7.2,810.00000000081,4212,8.5,420.00000000042013,2730
4,7.5,780.0000000007801,4290,8.8,390.0000000003899,2652
5,7.3,850.0000000008502,4505,9.1,310.0000000003101,2201
6,7.6,740.0000000007401,4144,8.6,440.00000000044,2904
7,7.4,790.00000000079,4266,8.7,400.0000000004002,2680
8,7.8,730.0000000007301,4234,8.9,400.00000000039995,2760
9,7.7,740.0000000007401,4218,8.8,410.0000000004099,2788
10,7.5,770.0000000007699,4235,8.7,410.0000000004102,2747
11,7.9,740.0000000007399,4366,9.2,350.0000000003503,2520
12,7.8,740.0000000007401,4292,9.0,380.00000000038006,2660
13,7.6,790.00000000079,4424,9.1,340.00000000034015,2414
14,7.5,830.00000000083,4565,9.3,290.00000000028996,2117
15,7.4,790.00000000079,4266,8.7,400.0000000004002,2680
16,7.6,780.0000000007801,4368,9.0,360.00000000036005,2520
17,7.7,760.00000000076,4332,9.0,370.0000000003701,2590
18,7.5,790.00000000079,4345,8.9,370.00000000037,2553
19,7.5,850.00000000085,4675,9.5,250.00000000024997,1875
20,7.4,840.00000000084,4536,9.2,300.00000000030025,2160
21,7.3,810.0000000008101,4293,8.7,390.0000000003901,2613
22,7.3,820.0000000008203,4346,8.8,370.00000000036977,2516
23,7.4,780.0000000007801,4212,8.6,420.0000000004201,2772
24,7.3,810.0000000008101,4293,8.7,390.0000000003901,2613
25,7.5,780.0000000007801,4290,8.8,390.0000000003899,2652
26,7.4,780.0000000007801,4212,8.6,420.0000000004201,2772
27,7.4,780.0000000007801,4212,8.6,420.0000000004201,2772
28,7.3,800.0000000008002,4240,8.6,410.00000000041,2706
29,7.4,780.0000000007801,4212,8.6,420.0000000004201,2772
30,7.3,800.0000000008002,4240,8.6,410.00000000041,2706
31,7.4,790.00000000079,4266,8.7,400.0000000004002,2680
32,7.5,760.00000000076,4180,8.6,430.0000000004301,2838
33,7.4,790.00000000079,4266,8.7,400.0000000004002,2680
34,7.4,780.0000000007801,4212,8.6,420.0000000004201,2772
35,7.3,800.0000000008002,4240,8.6,410.00000000041,2706
36,7.4,790.00000000079,4266,8.7,400.0000000004002,2680
37,7.5,770.0000000007699,4235,8.7,410.0000000004102,2747
38,7.4,780.0000000007801,4212,8.6,420.0000000004201,2772
39,7.4,790.00000000079,4266,8.7,400.0000000004002,2680
