Round,FirmID,Price,Quantity,Profit
1,1,7.0,1000.0000000010001,5000
1,2,10.0,100.00000000010002,800
2,1,7.0,900.0000000009001,4500
2,2,9.0,300.0000000003,2100
3,1,7.0,900.0000000009001,4500
3,2,9.0,300.0000000003,2100
4,1,7.0,900.0000000009001,4500
4,2,9.0,300.0000000003,2100
5,1,7.0,900.0000000009001,4500
5,2,9.0,300.0000000003,2100
6,1,7.0,900.0000000009001,4500
6,2,9.0,300.0000000003,2100
7,1,7.0,900.0000000009001,4500
7,2,9.0,300.0000000003,2100
8,1,7.0,900.0000000009001,4500
8,2,9.0,300.0000000003,2100
9,1,7.0,900.0000000009001,4500
9,2,9.0,300.0000000003,2100
10,1,7.0,900.0000000009001,4500
10,2,9.0,300.0000000003,2100
11,1,7.0,900.0000000009001,4500
11,2,9.0,300.0000000003,2100
12,1,7.0,900.0000000009001,4500
12,2,9.0,300.0000000003,2100
13,1,7.0,800.0000000008001,4000
13,2,8.0,500.00000000050005,3000
14,1,6.0,1000.0000000010001,4000
14,2,8.0,400.00000000040006,2400
15,1,6.0,1000.0000000010001,4000
15,2,8.0,400.00000000040006,2400
16,1,7.0,700.0000000007001,3500
16,2,7.0,700.0000000007001,3500
17,1,7.0,600.0000000006,3000
17,2,6.0,900.0000000009001,3600
18,1,6.0,900.0000000009001,3600
18,2,7.0,600.0000000006,3000
19,1,6.0,800.0000000008001,3200
19,2,6.0,800.0000000008001,3200
20,1,6.0,900.0000000009001,3600
20,2,7.0,600.0000000006,3000
21,1,7.0,750.0000000007501,3750
21,2,7.5,600.0000000005999,3300
22,1,7.0,750.0000000007501,3750
22,2,7.5,600.0000000005999,3300
23,1,7.0,750.0000000007501,3750
23,2,7.5,600.0000000005999,3300
24,1,7.0,850.00000000085,4250
24,2,8.5,400.0000000004002,2600
25,1,7.0,850.00000000085,4250
25,2,8.5,400.0000000004002,2600
26,1,7.0,750.0000000007501,3750
26,2,7.5,600.0000000005999,3300
27,1,7.0,750.0000000007501,3750
27,2,7.5,600.0000000005999,3300
28,1,7.0,750.0000000007501,3750
28,2,7.5,600.0000000005999,3300
29,1,7.0,750.0000000007501,3750
29,2,7.5,600.0000000005999,3300
30,1,7.0,750.0000000007501,3750
30,2,7.5,600.0000000005999,3300
31,1,7.0,750.0000000007501,3750
31,2,7.5,600.0000000005999,3300
32,1,7.0,750.0000000007501,3750
32,2,7.5,600.0000000005999,3300
33,1,7.0,750.0000000007501,3750
33,2,7.5,600.0000000005999,3300
34,1,7.0,750.0000000007501,3750
34,2,7.5,600.0000000005999,3300
35,1,7.0,750.0000000007501,3750
35,2,7.5,600.0000000005999,3300
36,1,7.0,750.0000000007501,3750
36,2,7.5,600.0000000005999,3300
37,1,7.5,650.0000000006501,3575
37,2,7.5,650.0000000006501,3575
38,1,7.0,750.0000000007501,3750
38,2,7.5,600.0000000005999,3300
39,1,7.0,750.0000000007501,3750
39,2,7.5,600.0000000005999,3300
